id,check,adm.level,Bundesland,Landkreis,intervention,start,end,comment,reference,reference2
"1,CORRECT,1,,,speech,2020-03-13,,""Merkel,Steinmeier"",https://www.rnd.de/politik/steinmeier-zu-corona-epidemie-dauer-der-krise-noch-nicht-absehbar-PUQP6YC7SGPT2LHBU6TGUH5NIQ.html,https://www.nytimes.com/2020/03/11/world/europe/coronavirus-merkel-germany.html"
312,CORRECT,2,Hamburg,,sports open,2020-05-05,,limited,https://www.luewu.de/docs/gvbl/docs/2353.pdf,
"313,CORRECT,2,Hamburg,,shops open,2020-05-13,,,""https://www.ndr.de/nachrichten/hamburg/Hamburger-Senat-lockert-weitere-Corona-Beschraenkungen,coronalockerungen114.html"","
"314,CORRECT,2,Hamburg,,gatherings,2020-05-13,,2hh,""https://www.ndr.de/nachrichten/hamburg/Hamburger-Senat-lockert-weitere-Corona-Beschraenkungen,coronalockerungen114.html"","
"315,CORRECT,2,Hamburg,,restaurants open,2020-05-13,,,""https://www.ndr.de/nachrichten/hamburg/Hamburger-Senat-lockert-weitere-Corona-Beschraenkungen,coronalockerungen114.html"","
316,CORRECT,2,Hamburg,,kitas open,2020-05-05,,limited,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/KiTAStudie_06-2020.pdf?__blob=publicationFile,
"317,CORRECT,2,Hamburg,,schools open,2020-04-27,,limited,""https://www.ndr.de/nachrichten/hamburg/Corona-So-geht-es-weiter-fuer-Hamburgs-Schulen,schule2154.html"","
"318,CORRECT,2,Hamburg,,schools open,2020-05-25,,limited,""https://www.ndr.de/nachrichten/hamburg/Corona-So-geht-es-weiter-fuer-Hamburgs-Schulen,schule2154.html"","
326,CORRECT,2,Brandenburg,,kitas,2020-03-18,,,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/KiTAStudie_Mai.pdf?__blob=publicationFile,
327,CORRECT,2,Brandenburg,,events,2020-03-17,,50,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_10_2020.pdf,
328,CORRECT,2,Brandenburg,,shops,2020-03-17,,,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_10_2020.pdf,
329,CORRECT,2,Brandenburg,,bars,2020-03-17,,,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_10_2020.pdf,
330,CORRECT,2,Brandenburg,,sports,2020-03-17,,,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_10_2020.pdf,
331,CORRECT,2,Brandenburg,,restaurants,2020-03-17,,limited,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_10_2020.pdf,
332,CORRECT,2,Brandenburg,,events,2020-03-23,,,https://www.landesrecht.brandenburg.de/dislservice/disl/dokumente/8581/dokument/14161,
333,CORRECT,2,Brandenburg,,restaurants,2020-03-23,,,https://www.landesrecht.brandenburg.de/dislservice/disl/dokumente/8581/dokument/14161,
334,CORRECT,2,Brandenburg,,distance,2020-03-23,,,https://www.landesrecht.brandenburg.de/dislservice/disl/dokumente/8581/dokument/14161,
335,CORRECT,2,Brandenburg,,curfew,2020-03-23,2020-05-09,,https://www.landesrecht.brandenburg.de/dislservice/disl/dokumente/8581/dokument/14161,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_21_2020.pdf
336,CORRECT,2,Brandenburg,,shops2,2020-04-20,,,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_21_2020.pdf,
337,CORRECT,2,Brandenburg,,churches open,2020-05-04,,,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_25_2020.pdf,
338,CORRECT,2,Brandenburg,,masks,2020-04-27,,,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_25_2020.pdf,
339,CORRECT,2,Brandenburg,,gatherings,2020-05-09,,2hh,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_30_2020.pdf,
340,CORRECT,2,Brandenburg,,shops open,2020-05-09,,,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_30_2020.pdf,
341,CORRECT,2,Brandenburg,,sports open,2020-05-15,,limited,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_30_2020.pdf,
342,CORRECT,2,Brandenburg,,restaurants open,2020-05-15,,limited,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_30_2020.pdf,
344,CORRECT,2,Brandenburg,,schools open,2020-05-23,,limited,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_30_2020.pdf,
345,CORRECT,2,Brandenburg,,kitas open,2020-05-25,,,https://bravors.brandenburg.de/br2/sixcms/media.php/76/GVBl_II_39_2020.pdf,
351,CORRECT,2,Brandenburg,,kitas open,2020-04-27,,limited,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/KiTAStudie_Mai.pdf?__blob=publicationFile,
"353,CORRECT,2,Mecklenburg-Vorpommern,,events,2020-03-12,,1000,""https://www.ndr.de/nachrichten/mecklenburg-vorpommern/Coronavirus-MV-sagt-alle-Grossveranstaltungen-ab,coronavirus424.html"","
354,CORRECT,2,Mecklenburg-Vorpommern,,kitas,2020-03-16,,,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/KiTAStudie_Mai.pdf?__blob=publicationFile,
355,CORRECT,2,Mecklenburg-Vorpommern,,shops,2020-03-18,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/GVOBl%20Nr%206%20vom%2018.%20M%C3%A4rz%202020%20-%20Corona.pdf,
